,vars,clauses,clauses_per_var,qubo_variables,qubo_avg_conn,qubo_variance_conn
0,250,875,3.5,1125,6.22,37.12
1,250,875,3.5,1125,6.22,37.06
2,250,875,3.5,1125,6.22,37.08
3,250,875,3.5,1125,6.22,37.09
4,250,875,3.5,1125,6.22,37.1
5,250,875,3.5,1125,6.22,37.11
6,250,875,3.5,1125,6.22,37.03
7,250,875,3.5,1125,6.22,37.1
8,250,875,3.5,1125,6.22,37.08
9,250,875,3.5,1125,6.22,37.06
10,300,1050,3.5,1350,6.22,37.11
11,300,1050,3.5,1350,6.22,37.11
12,300,1050,3.5,1350,6.22,37.15
13,300,1050,3.5,1350,6.22,37.14
14,300,1050,3.5,1350,6.22,37.15
15,300,1050,3.5,1350,6.22,37.11
16,300,1050,3.5,1350,6.22,37.09
17,300,1050,3.5,1350,6.22,37.18
18,300,1050,3.5,1350,6.22,37.06
19,300,1050,3.5,1350,6.22,37.05
20,350,1225,3.5,1575,6.22,37.17
21,350,1225,3.5,1575,6.22,37.01
22,350,1225,3.5,1575,6.22,37.08
23,350,1225,3.5,1575,6.22,37.12
24,350,1225,3.5,1575,6.22,37.1
25,350,1225,3.5,1575,6.22,37.1
26,350,1225,3.5,1575,6.22,37.11
27,350,1225,3.5,1575,6.22,37.06
28,350,1225,3.5,1575,6.22,37.12
29,350,1225,3.5,1575,6.22,37.11
30,400,1400,3.5,1800,6.22,37.1
31,400,1400,3.5,1800,6.22,37.06
32,400,1400,3.5,1800,6.22,37.12
33,400,1400,3.5,1800,6.22,37.14
34,400,1400,3.5,1800,6.22,37.14
35,400,1400,3.5,1800,6.22,37.08
36,400,1400,3.5,1800,6.22,37.21
37,400,1400,3.5,1800,6.22,37.16
38,400,1400,3.5,1800,6.22,37.11
39,400,1400,3.5,1800,6.22,37.14
40,450,1575,3.5,2025,6.22,37.0
41,450,1575,3.5,2025,6.22,37.11
42,450,1575,3.5,2025,6.22,37.09
43,450,1575,3.5,2025,6.22,37.16
44,450,1575,3.5,2025,6.22,37.12
45,450,1575,3.5,2025,6.22,37.06
46,450,1575,3.5,2025,6.22,37.14
47,450,1575,3.5,2025,6.22,37.13
48,450,1575,3.5,2025,6.22,37.08
49,450,1575,3.5,2025,6.22,37.21
50,500,1750,3.5,2250,6.22,37.1
51,500,1750,3.5,2250,6.22,37.12
52,500,1750,3.5,2250,6.22,37.09
53,500,1750,3.5,2250,6.22,37.1
54,500,1750,3.5,2250,6.22,37.05
55,500,1750,3.5,2250,6.22,37.06
56,500,1750,3.5,2250,6.22,37.09
57,500,1750,3.5,2250,6.22,37.12
58,500,1750,3.5,2250,6.22,37.16
59,500,1750,3.5,2250,6.22,37.1
60,550,1925,3.5,2475,6.22,37.12
61,550,1925,3.5,2475,6.22,37.06
62,550,1925,3.5,2475,6.22,37.08
63,550,1925,3.5,2475,6.22,37.19
64,550,1925,3.5,2475,6.22,37.04
65,550,1925,3.5,2475,6.22,37.0
66,550,1925,3.5,2475,6.22,37.14
67,550,1925,3.5,2475,6.22,37.13
68,550,1925,3.5,2475,6.22,37.12
69,550,1925,3.5,2475,6.22,37.14
70,600,2100,3.5,2700,6.22,37.16
71,600,2100,3.5,2700,6.22,37.09
72,600,2100,3.5,2700,6.22,37.08
73,600,2100,3.5,2700,6.22,37.1
74,600,2100,3.5,2700,6.22,37.08
75,600,2100,3.5,2700,6.22,37.15
76,600,2100,3.5,2700,6.22,37.19
77,600,2100,3.5,2700,6.22,37.09
78,600,2100,3.5,2700,6.22,37.1
79,600,2100,3.5,2700,6.22,37.11
80,650,2275,3.5,2925,6.22,37.15
81,650,2275,3.5,2925,6.22,37.1
82,650,2275,3.5,2925,6.22,37.1
83,650,2275,3.5,2925,6.22,37.1
84,650,2275,3.5,2925,6.22,37.14
85,650,2275,3.5,2925,6.22,37.19
86,650,2275,3.5,2925,6.22,37.12
87,650,2275,3.5,2925,6.22,37.14
88,650,2275,3.5,2925,6.22,37.11
89,650,2275,3.5,2925,6.22,37.19
90,700,2450,3.5,3150,6.22,37.03
91,700,2450,3.5,3150,6.22,37.12
92,700,2450,3.5,3150,6.22,37.15
93,700,2450,3.5,3150,6.22,37.07
94,700,2450,3.5,3150,6.22,37.04
95,700,2450,3.5,3150,6.22,37.04
96,700,2450,3.5,3150,6.22,37.1
97,700,2450,3.5,3150,6.22,37.14
98,700,2450,3.5,3150,6.22,37.11
99,700,2450,3.5,3150,6.22,37.02
100,750,2625,3.5,3375,6.22,37.15
101,750,2625,3.5,3375,6.22,37.09
102,750,2625,3.5,3375,6.22,37.12
103,750,2625,3.5,3375,6.22,37.11
104,750,2625,3.5,3375,6.22,37.13
105,750,2625,3.5,3375,6.22,37.09
106,750,2625,3.5,3375,6.22,37.05
107,750,2625,3.5,3375,6.22,37.07
108,750,2625,3.5,3375,6.22,37.14
109,750,2625,3.5,3375,6.22,37.06
110,800,2800,3.5,3600,6.22,37.09
111,800,2800,3.5,3600,6.22,37.07
112,800,2800,3.5,3600,6.22,37.04
113,800,2800,3.5,3600,6.22,37.07
114,800,2800,3.5,3600,6.22,37.14
115,800,2800,3.5,3600,6.22,37.08
116,800,2800,3.5,3600,6.22,37.14
117,800,2800,3.5,3600,6.22,37.1
118,800,2800,3.5,3600,6.22,37.11
119,800,2800,3.5,3600,6.22,37.12
120,850,2975,3.5,3825,6.22,37.22
121,850,2975,3.5,3825,6.22,37.04
122,850,2975,3.5,3825,6.22,37.09
123,850,2975,3.5,3825,6.22,37.11
124,850,2975,3.5,3825,6.22,37.12
125,850,2975,3.5,3825,6.22,37.15
126,850,2975,3.5,3825,6.22,37.07
127,850,2975,3.5,3825,6.22,37.11
128,850,2975,3.5,3825,6.22,37.1
129,850,2975,3.5,3825,6.22,37.16
130,900,3150,3.5,4050,6.22,37.2
131,900,3150,3.5,4050,6.22,37.15
132,900,3150,3.5,4050,6.22,37.1
133,900,3150,3.5,4050,6.22,37.09
134,900,3150,3.5,4050,6.22,37.08
135,900,3150,3.5,4050,6.22,37.15
136,900,3150,3.5,4050,6.22,37.16
137,900,3150,3.5,4050,6.22,37.1
138,900,3150,3.5,4050,6.22,37.08
139,900,3150,3.5,4050,6.22,37.1
140,950,3325,3.5,4275,6.22,37.06
141,950,3325,3.5,4275,6.22,37.13
142,950,3325,3.5,4275,6.22,37.1
143,950,3325,3.5,4275,6.22,37.15
144,950,3325,3.5,4275,6.22,37.13
145,950,3325,3.5,4275,6.22,37.13
146,950,3325,3.5,4275,6.22,37.14
147,950,3325,3.5,4275,6.22,37.12
148,950,3325,3.5,4275,6.22,37.12
149,950,3325,3.5,4275,6.22,37.05
150,1000,3500,3.5,4500,6.22,37.15
151,1000,3500,3.5,4500,6.22,37.03
152,1000,3500,3.5,4500,6.22,37.06
153,1000,3500,3.5,4500,6.22,37.11
154,1000,3500,3.5,4500,6.22,37.14
155,1000,3500,3.5,4500,6.22,37.12
156,1000,3500,3.5,4500,6.22,37.16
157,1000,3500,3.5,4500,6.22,37.13
158,1000,3500,3.5,4500,6.22,37.12
159,1000,3500,3.5,4500,6.22,37.16
