,variables,clauses,ratio_sat
0,10,10,0.27
1,10,15,0.14
2,10,20,0.06
3,10,25,0.04
4,10,30,0.0
5,10,35,0.0
6,10,40,0.0
7,10,45,0.0
8,10,50,0.0
9,10,55,0.0
10,10,60,0.0
11,10,65,0.0
12,10,70,0.0
13,10,75,0.0
14,10,80,0.0
15,10,85,0.0
16,10,90,0.0
17,10,95,0.0
18,10,100,0.0
19,15,10,0.29
20,15,15,0.16
21,15,20,0.1
22,15,25,0.03
23,15,30,0.02
24,15,35,0.01
25,15,40,0.01
26,15,45,0.01
27,15,50,0.0
28,15,55,0.0
29,15,60,0.0
30,15,65,0.0
31,15,70,0.0
32,15,75,0.0
33,15,80,0.0
34,15,85,0.0
35,15,90,0.0
36,15,95,0.0
37,15,100,0.0
38,20,10,0.25
39,20,15,0.13
40,20,20,0.08
41,20,25,0.04
42,20,30,0.02
43,20,35,0.01
44,20,40,0.0
45,20,45,0.0
46,20,50,0.0
47,20,55,0.0
48,20,60,0.0
49,20,65,0.0
50,20,70,0.0
51,20,75,0.0
52,20,80,0.0
53,20,85,0.0
54,20,90,0.0
55,20,95,0.0
56,20,100,0.0
