,operator,wordsize,cnf_vars,clauses,clauses_per_var,qubo_vars,avg_conn,variance_conn,max_conn
0,add,8,41,127,3.1,49,4.08,1.95,7
1,and,8,34,52,1.53,33,2.79,0.8,4
2,div,8,243,950,3.91,270,4.84,4.81,17
3,eq,8,63,126,2.0,62,3.45,0.25,4
4,ite,8,51,100,1.96,50,3.76,17.45,32
5,mul,8,118,493,4.18,145,5.37,5.29,16
6,not,8,26,44,1.69,25,2.4,1.33,4
7,rem,8,239,942,3.94,266,4.88,4.65,17
8,sub,8,70,244,3.49,79,4.0,2.9,7
9,ult,8,57,180,3.16,73,3.86,3.23,7
10,add,16,89,279,3.13,105,4.04,1.83,7
11,and,16,74,116,1.57,73,2.79,0.67,4
12,div,16,679,3002,4.42,798,5.38,11.94,33
13,eq,16,127,254,2.0,126,3.48,0.25,4
14,ite,16,107,212,1.98,106,3.74,35.68,64
15,mul,16,434,2081,4.79,553,5.85,13.97,32
16,not,16,58,100,1.72,57,2.46,1.29,4
17,rem,16,675,2994,4.44,794,5.39,11.48,33
18,sub,16,150,532,3.55,167,4.0,2.81,7
19,ult,16,113,364,3.22,145,3.93,3.29,7
20,add,24,137,431,3.15,161,4.02,1.79,7
21,and,24,114,180,1.58,113,2.8,0.63,4
22,div,24,1307,6142,4.7,1582,5.65,20.57,49
23,eq,24,191,382,2.0,190,3.48,0.25,4
24,ite,24,163,324,1.99,162,3.73,53.95,96
25,mul,24,942,4757,5.05,1217,6.04,23.71,48
26,not,24,90,156,1.73,89,2.47,1.27,4
27,rem,24,1303,6134,4.71,1578,5.66,19.98,49
28,sub,24,230,820,3.57,255,4.0,2.78,7
29,ult,24,169,548,3.24,217,3.95,3.3,7
30,add,32,185,583,3.15,217,4.02,1.77,7
31,and,32,154,244,1.58,153,2.8,0.61,4
32,div,32,2127,10370,4.88,2622,5.82,29.92,65
33,eq,32,255,510,2.0,254,3.49,0.25,4
34,ite,32,219,436,1.99,218,3.72,72.23,128
35,mul,32,1642,8521,5.19,2137,6.15,33.85,64
36,not,32,122,212,1.74,121,2.48,1.27,4
37,rem,32,2123,10362,4.88,2618,5.82,29.26,65
38,sub,32,310,1108,3.57,343,4.0,2.77,7
39,ult,32,225,732,3.25,289,3.97,3.31,7
40,add,40,233,735,3.15,273,4.01,1.76,7
41,and,40,194,308,1.59,193,2.8,0.6,4
42,div,40,3139,15686,5.0,3918,5.93,39.67,81
43,eq,40,319,638,2.0,318,3.49,0.25,4
44,ite,40,275,548,1.99,274,3.72,90.51,160
45,mul,40,2534,13373,5.28,3313,6.21,44.17,80
46,not,40,154,268,1.74,153,2.48,1.26,4
47,rem,40,3135,15678,5.0,3914,5.93,38.95,81
48,sub,40,390,1396,3.58,431,4.0,2.76,7
49,ult,40,281,916,3.26,361,3.97,3.32,7
50,add,48,281,887,3.16,329,4.01,1.75,7
51,and,48,234,372,1.59,233,2.8,0.59,4
52,div,48,4343,22090,5.09,5470,6.01,49.66,97
53,eq,48,383,766,2.0,382,3.49,0.25,4
54,ite,48,331,660,1.99,330,3.72,108.79,192
55,mul,48,3618,19313,5.34,4745,6.26,54.6,96
56,not,48,186,324,1.74,185,2.49,1.26,4
57,rem,48,4339,22082,5.09,5466,6.01,48.91,97
58,sub,48,470,1684,3.58,519,4.0,2.75,7
59,ult,48,337,1100,3.26,433,3.98,3.32,7
60,add,56,329,1039,3.16,385,4.01,1.74,7
61,and,56,274,436,1.59,273,2.8,0.59,4
62,div,56,5739,29582,5.15,7278,6.07,59.81,113
63,eq,56,447,894,2.0,446,3.49,0.25,4
64,ite,56,387,772,1.99,386,3.72,127.07,224
65,mul,56,4894,26341,5.38,6433,6.29,65.09,112
66,not,56,218,380,1.74,217,2.49,1.26,4
67,rem,56,5735,29574,5.16,7274,6.07,59.03,113
68,sub,56,550,1972,3.59,607,4.0,2.75,7
69,ult,56,393,1284,3.27,505,3.98,3.32,7
70,add,64,377,1191,3.16,441,4.01,1.74,7
71,and,64,314,500,1.59,313,2.8,0.58,4
72,div,64,7327,38162,5.21,9342,6.12,70.07,129
73,eq,64,511,1022,2.0,510,3.49,0.25,4
74,ite,64,443,884,2.0,442,3.72,145.36,256
75,mul,64,6362,34457,5.42,8377,6.32,75.62,128
76,not,64,250,436,1.74,249,2.49,1.26,4
77,rem,64,7323,38154,5.21,9338,6.12,69.26,129
78,sub,64,630,2260,3.59,695,4.0,2.75,7
79,ult,64,449,1468,3.27,577,3.98,3.32,7
